Helység.megnevezése;IRSZ
Bisse;7811
Boba;9542
Bocfölde;8943
Boconád;3368
Bócsa;6235
Bocska;8776
Bocskaikert;4241
Boda;7672
Bodajk;8053
Bodmér;8080
Bodolyabér;7394
Bodonhely;9134
Bodony;3243
Bodorfa;8471
Bodrog;7439
Bodroghalom;3987
Bodrogkeresztúr;3916
Bodrogkisfalud;3917
Bodrogolaszi;3943
Bódvalenke;3768
Bódvarákó;3764
Bódvaszilas;3763
Bogács;3412
Bogád;7742
Bogádmindszent;7836
Bogdása;7966
Bogyiszló;7132
Bogyoszló;9324
Bojt;4114
Bókaháza;8741
Bokod;2855
Bokor;3066
Boldog;3016
Boldogasszonyfa;7937
Boldogkőújfalu;3884
Boldogkőváralja;3885
Boldva;3794
Bolhás;7517
Bolhó;7586
Bóly;7754
Boncodfölde;8992
Bonyhád;7150
Bonyhád;7187
Bonyhádvarasd;7158
Bonnya;7281
Bordány;6795
Borgáta;9554
Borjád;7756
Borota;6445
Borsfa;8885
Borsodbóta;3658
Borsodgeszt;3426
Borsodivánka;3462
Borsodnádasd;3671
Borsodnádasd;3672
Borsodszentgyörgy;3623
Borsodszirák;3796
Borsosberény;2644
Borszörcsök;8479
Borzavár;8428
Bosta;7811
Botpalád;4955
Botykapeterd;7900
Bozzai;9752
Bozsok;9727
Bózsva;3994
Bő;9625
Bőcs;3574
Böde;8991
Bödeháza;8969
Bögöt;9612
Bögöte;9675
Böhönye;8719
Bököny;4231
Bölcske;7025
Bőny;9073
Börcs;9152
Börzönce;8772
Bősárkány;9167
Bőszénfa;7475
Bucsa;5527
Bucsu;9792
Búcsúszentlászló;8925
Bucsuta;8893
Budajenő;2093
Budakalász;2011
Budakeszi;2092
Budaörs;2040
Budapest 01. ker.;1015
Budapest 01. ker.;1016
Budapest 01. ker.;1011
Budapest 01. ker.;1014
Budapest 01. ker.;1012
Budapest 01. ker.;1013
Budapest 02. ker.;1022
Budapest 02. ker.;1025
Budapest 02. ker.;1024
Budapest 02. ker.;1026
Budapest 02. ker.;1028
Budapest 02. ker.;1023
Budapest 02. ker.;1027
Budapest 02. ker.;1021
Budapest 02. ker.;1029
Budapest 03. ker.;1032
Budapest 03. ker.;1039
Budapest 03. ker.;1031
Budapest 03. ker.;1038
Budapest 03. ker.;1033
Budapest 03. ker.;1036
Budapest 03. ker.;1035
Budapest 03. ker.;1034
Budapest 03. ker.;1037
Budapest 04. ker.;1047
Budapest 04. ker.;1044
Budapest 04. ker.;1043
Budapest 04. ker.;1042
Budapest 04. ker.;1041
Budapest 04. ker.;1046
Budapest 04. ker.;1048
Budapest 04. ker.;1045
Budapest 05. ker.;1054
Budapest 05. ker.;1053
Budapest 05. ker.;1055
Budapest 05. ker.;1056
Budapest 05. ker.;1052
Budapest 05. ker.;1051
Budapest 06. ker.;1063
Budapest 06. ker.;1064
Budapest 06. ker.;1065
Budapest 06. ker.;1061
Budapest 06. ker.;1062
Budapest 06. ker.;1066
Budapest 06. ker.;1068
Budapest 06. ker.;1067
Budapest 07. ker.;1073
Budapest 07. ker.;1075
Budapest 07. ker.;1071
Budapest 07. ker.;1074
Budapest 07. ker.;1072
Budapest 07. ker.;1078
Budapest 07. ker.;1076
Budapest 07. ker.;1077
Budapest 08. ker.;1084
Budapest 08. ker.;1081
Budapest 08. ker.;1085
Budapest 08. ker.;1089
Budapest 08. ker.;1083
Budapest 08. ker.;1086
Budapest 08. ker.;1088
Budapest 08. ker.;1087
Budapest 08. ker.;1082
Budapest 09. ker.;1097
Budapest 09. ker.;1091
Budapest 09. ker.;1095
Budapest 09. ker.;1093
Budapest 09. ker.;1092
Budapest 09. ker.;1094
Budapest 09. ker.;1096
Budapest 09. ker.;1098
Budapest 10. ker.;1107
Budapest 10. ker.;1104
Budapest 10. ker.;1106
Budapest 10. ker.;1103
Budapest 10. ker.;1102
Budapest 10. ker.;1105
Budapest 10. ker.;1108
Budapest 10. ker.;1101
Budapest 11. ker.;1117
Budapest 11. ker.;1119
Budapest 11. ker.;1111
Budapest 11. ker.;1114
Budapest 11. ker.;1112
Budapest 11. ker.;1118
Budapest 11. ker.;1116
Budapest 11. ker.;1115
Budapest 11. ker.;1113
Budapest 12. ker.;1126
Budapest 12. ker.;1124
Budapest 12. ker.;1121
Budapest 12. ker.;1123
Budapest 12. ker.;1122
Budapest 12. ker.;1125
Budapest 13. ker.;1131
Budapest 13. ker.;1139
Budapest 13. ker.;1133
Budapest 13. ker.;1134
Budapest 13. ker.;1007
Budapest 13. ker.;1132
Budapest 13. ker.;1136
Budapest 13. ker.;1135
Budapest 13. ker.;1137
Budapest 13. ker.;1138
Budapest 14. ker.;1147
Budapest 14. ker.;1148
Budapest 14. ker.;1145
Budapest 14. ker.;1141
Budapest 14. ker.;1149
Budapest 14. ker.;1146
Budapest 14. ker.;1142
Budapest 14. ker.;1143
Budapest 14. ker.;1144
Budapest 15. ker.;1157
Budapest 15. ker.;1151
Budapest 15. ker.;1153
Budapest 15. ker.;1154
Budapest 15. ker.;1152
Budapest 15. ker.;1156
Budapest 15. ker.;1158
Budapest 15. ker.;1155
Budapest 16. ker.;1165
Budapest 16. ker.;1162
Budapest 16. ker.;1161
Budapest 16. ker.;1164
Budapest 16. ker.;1163
Budapest 17. ker.;1174
Budapest 17. ker.;1173
Budapest 17. ker.;1172
Budapest 17. ker.;1171
Budapest 18. ker.;1182
Budapest 18. ker.;1185
Budapest 18. ker.;1183
Budapest 18. ker.;1186
Budapest 18. ker.;1188
Budapest 18. ker.;1184
Budapest 18. ker.;1181
Budapest 19. ker.;1192
Budapest 19. ker.;1191
Budapest 19. ker.;1196
Budapest 19. ker.;1193
Budapest 19. ker.;1194
Budapest 19. ker.;1195
Budapest 20. ker.;1205
Budapest 20. ker.;1201
Budapest 20. ker.;1202
Budapest 20. ker.;1204
Budapest 20. ker.;1203
Budapest 21. ker.;1213
Budapest 21. ker.;1212
Budapest 21. ker.;1214
Budapest 21. ker.;1215
Budapest 21. ker.;1211
Budapest 22. ker.;1222
Budapest 22. ker.;1225
Budapest 22. ker.;1223
Budapest 22. ker.;1221
Budapest 22. ker.;1224
Budapest 23. ker.;1239
Budapest 23. ker.;1237
Budapest 23. ker.;1238
Bugac;6114
Bugacpusztaháza;6114
Bugyi;2347
Buj;4483
Buják;3047
Buzsák;8695
